cliente_id,nome_completo,sexo,data_nascimento,idade,estado_civil,uf,cidade,renda_mensal,patrimonio_estimado,segmento,escolaridade,profissao,score_relacionamento,perfil_investidor,data_cadastro,canal_aquisicao,cliente_ativo,possui_app_ativo,aceita_ofertas_marketing
CLI000001,Joao Santos Ribeiro,masculino,1952-06-07,73,viuvo,RJ,Rio de Janeiro,49781.34,1921908.78,alta_renda,superior_completo,engenheiro_de_software,71,conservador,2022-11-26,digital,true,false,false
CLI000002,Pedro Teixeira Lima,masculino,1976-04-22,49,divorciado,CE,Fortaleza,22474.85,457115.66,alta_renda,superior_completo,gerente_comercial,69,arrojado,2023-12-20,agencia,true,true,true
CLI000003,Carlos Oliveira,masculino,1958-08-22,67,casado,MG,Belo Horizonte,8021.13,88291.46,varejo,pos_graduacao,medico,46,moderado,2020-02-12,indicacao,true,false,false
CLI000004,Juliana Carvalho,feminino,1986-09-04,39,viuvo,AM,Manaus,28654.77,836566.95,alta_renda,superior_completo,engenheiro_de_software,75,arrojado,2022-10-14,parceria,true,true,false
CLI000005,Daniel Nascimento,masculino,1966-12-27,59,viuvo,SP,Sao Paulo,17446.81,821186.35,alta_renda,superior_completo,arquiteto,59,conservador,2022-01-10,agencia,true,true,true
CLI000006,Felipe Ferreira Lima,masculino,1998-05-11,27,casado,CE,Fortaleza,33874.74,976989.25,alta_renda,superior_completo,gerente_comercial,68,moderado,2023-07-05,indicacao,true,true,true
CLI000007,Matheus Ferreira,masculino,1978-11-24,47,divorciado,SP,Campinas,37947.14,1250862.73,alta_renda,superior_completo,gerente_comercial,73,arrojado,2026-12-26,digital,true,true,false
CLI000008,William Silva Cardoso,masculino,1962-12-18,63,casado,RJ,Rio de Janeiro,11174.17,98727.51,alta_renda,superior_completo,designer,57,conservador,2023-11-20,digital,true,false,false
CLI000009,William Souza,masculino,2005-04-13,20,viuvo,RJ,Rio de Janeiro,19939.89,501750.79,alta_renda,superior_completo,professor,39,arrojado,2021-03-02,digital,false,false,false
CLI000010,Claudia Santos Barbosa,feminino,1962-03-13,64,viuvo,AM,Manaus,5051.00,58363.78,empreendedor,superior_completo,administrador,55,conservador,2023-01-15,digital,true,true,true
CLI000011,Ana Rodrigues,feminino,1988-02-08,38,solteiro,MG,Belo Horizonte,30109.48,562380.35,alta_renda,superior_completo,analista_financeiro,59,arrojado,2020-12-06,indicacao,true,true,true
CLI000012,Pedro Santos Almeida,masculino,1986-01-22,40,viuvo,BA,Salvador,9899.00,324474.21,varejo,pos_graduacao,dentista,64,arrojado,2026-02-22,agencia,true,true,true
CLI000013,Claudia Souza Araujo,feminino,1973-10-20,52,divorciado,RS,Porto Alegre,53078.07,999022.53,alta_renda,superior_completo,empresario,70,moderado,2023-01-24,parceria,true,true,true
CLI000014,Gustavo Barbosa,masculino,1998-04-07,27,solteiro,SP,Sao Paulo,32459.00,595793.06,alta_renda,superior_completo,gerente_comercial,64,moderado,2022-04-28,parceria,true,true,true
CLI000015,Gustavo Cardoso Rodrigues,masculino,1988-10-24,37,casado,BA,Salvador,14961.40,258904.47,varejo,superior_completo,designer,53,moderado,2024-09-15,indicacao,true,false,false
CLI000016,Marcelo Moreira Ferreira,masculino,1997-08-11,28,divorciado,DF,Brasilia,21250.51,442822.95,alta_renda,pos_graduacao,medico,78,arrojado,2026-08-01,agencia,true,true,false
CLI000017,Gabriela Lima Silva,feminino,1983-04-27,42,viuvo,SP,Sao Paulo,46334.72,1460057.59,alta_renda,superior_completo,empresario,60,conservador,2021-03-01,indicacao,true,true,true
CLI000018,Henrique Moreira Souza,masculino,1999-02-07,27,solteiro,SP,Campinas,12065.17,220043.27,alta_renda,pos_graduacao,medico,77,arrojado,2018-10-27,agencia,true,true,true
CLI000019,Daniela Santos,feminino,1948-10-15,77,viuvo,BA,Salvador,27897.29,558854.65,varejo,superior_completo,arquiteto,45,moderado,2024-02-19,digital,true,false,false
CLI000020,Claudia Ferreira,feminino,1995-01-23,31,solteiro,RJ,Niteroi,47582.91,888723.46,alta_renda,superior_completo,advogado,61,arrojado,2020-02-11,parceria,true,false,false
CLI000021,Camila Oliveira,feminino,2002-05-15,23,casado,SP,Santos,54152.95,2016916.30,alta_renda,pos_graduacao,dentista,69,moderado,2018-09-21,agencia,true,false,false
CLI000022,Thiago Oliveira,masculino,1957-05-08,68,divorciado,GO,Goiania,22287.34,772056.20,alta_renda,superior_completo,advogado,70,conservador,2021-10-07,digital,true,true,true
CLI000023,Vinicius Pereira,masculino,2003-08-24,22,divorciado,PR,Londrina,36774.92,1411314.62,alta_renda,superior_completo,gerente_comercial,83,arrojado,2023-11-23,indicacao,true,true,false
CLI000024,Eduardo Araujo,masculino,1992-10-19,33,casado,PR,Curitiba,39526.96,750381.83,alta_renda,pos_graduacao,consultor,76,moderado,2026-07-17,indicacao,true,true,false
CLI000025,Camila Ferreira Almeida,feminino,1990-12-02,35,viuvo,SP,Santos,41025.58,460874.61,alta_renda,pos_graduacao,medico,64,moderado,2018-09-24,digital,false,true,false
CLI000026,Vanessa Rodrigues,feminino,1966-07-17,59,viuvo,GO,Goiania,28129.93,1548075.89,alta_renda,superior_completo,analista_financeiro,82,conservador,2020-06-26,indicacao,true,true,false
