conta_id,cliente_id,tipo_conta,status_conta,data_abertura,data_encerramento,agencia_codigo,conta_numero,canal_abertura,pacote_tarifario,saldo_atual,limite_credito,possui_cartao,possui_cheque_especial,indicador_salario,indicador_investimento,ultima_movimentacao_data
CTA000001,CLI000001,investimento,ativa,2023-02-11,,3768,566036-0,agencia,isento,1016596.35,74559.89,false,false,false,true,2026-01-01
CTA000002,CLI000002,premium,ativa,2024-03-24,,6735,598549-4,gerente,premium,20295.82,28403.81,true,true,false,false,2026-03-28
CTA000003,CLI000003,investimento,ativa,2020-07-12,,7651,855299-1,agencia,isento,62371.21,17354.35,false,false,false,true,2026-02-07
CTA000004,CLI000003,investimento,ativa,2020-05-14,,3952,911246-7,gerente,isento,20374.36,14304.35,false,false,false,true,2026-02-28
CTA000005,CLI000004,investimento,ativa,2023-03-11,,4708,817978-1,app,isento,208396.54,38147.05,false,false,false,true,2026-03-15
CTA000006,CLI000005,corrente,ativa,2022-05-03,,5840,139158-9,app,basico,35462.21,33907.84,true,false,false,false,2026-03-12
CTA000007,CLI000005,corrente,ativa,2022-06-10,,7115,490972-1,gerente,basico,36944.55,20853.66,true,true,false,false,2026-02-03
CTA000008,CLI000005,investimento,ativa,2022-06-06,,1800,457458-2,app,isento,111434.36,38277.34,false,false,false,true,2026-03-27
CTA000009,CLI000006,corrente,ativa,2023-11-15,,7815,903740-6,app,basico,70096.13,26991.89,true,false,false,false,2026-02-23
CTA000010,CLI000007,premium,ativa,2027-06-01,,3551,396368-3,gerente,premium,40244.26,76821.12,true,false,false,false,2026-02-12
CTA000011,CLI000007,corrente,ativa,2027-01-09,,9888,747765-8,gerente,basico,86736.92,85654.87,true,true,false,false,2026-01-04
CTA000012,CLI000008,investimento,ativa,2024-03-18,,3885,901157-1,agencia,isento,83885.99,22393.25,false,false,false,true,2026-03-06
CTA000013,CLI000009,salario,encerrada,2021-03-04,2021-12-29,1192,135156-8,agencia,isento,10981.12,38231.70,true,false,true,false,2021-12-29
CTA000014,CLI000009,corrente,ativa,2021-08-05,,4029,176270-3,gerente,basico,54578.68,32947.18,true,true,false,false,2026-02-01
CTA000015,CLI000009,investimento,encerrada,2021-07-11,2022-08-29,5191,578263-4,parceiro,isento,120707.80,15532.22,false,false,false,true,2022-08-29
CTA000016,CLI000010,corrente,bloqueada,2023-07-14,,5612,794612-9,gerente,basico,4960.49,11752.46,true,true,false,false,2026-03-07
CTA000017,CLI000010,corrente,ativa,2023-03-13,,7074,356208-1,app,basico,15628.42,8318.54,true,false,false,false,2026-03-18
CTA000018,CLI000010,pj,ativa,2023-02-16,,1806,309182-0,agencia,premium,14632.58,12472.06,true,false,false,false,2026-03-26
CTA000019,CLI000011,salario,ativa,2021-03-19,,5413,941670-6,parceiro,isento,87329.81,36671.52,true,false,true,false,2026-01-13
CTA000020,CLI000012,investimento,ativa,2026-04-08,,5407,499611-9,parceiro,isento,61957.47,20947.93,false,false,false,true,2026-03-19
CTA000021,CLI000013,corrente,ativa,2023-02-15,,1191,353682-8,gerente,basico,26182.39,104978.30,true,false,false,false,2026-02-08
CTA000022,CLI000013,corrente,ativa,2023-03-08,,9465,166501-4,app,basico,115292.67,114335.48,true,true,false,false,2026-01-27
CTA000023,CLI000014,corrente,ativa,2022-06-03,,9368,629829-9,agencia,basico,40223.76,80061.89,true,true,false,false,2026-01-28
CTA000024,CLI000014,corrente,ativa,2022-08-11,,4353,778032-5,gerente,basico,35230.98,54524.91,true,false,false,false,2026-03-14
CTA000025,CLI000015,investimento,ativa,2024-12-27,,0936,226825-6,parceiro,isento,26111.29,11228.87,false,false,false,true,2026-02-16
CTA000026,CLI000016,investimento,ativa,2026-11-21,,0671,614261-9,parceiro,isento,138035.81,38964.50,false,false,false,true,2026-01-16
CTA000027,CLI000017,corrente,ativa,2021-08-10,,9443,994915-0,agencia,basico,45835.73,115152.10,true,false,false,false,2026-01-27
CTA000028,CLI000017,corrente,ativa,2021-05-12,,7652,969722-5,agencia,basico,36333.41,96237.91,true,true,false,false,2026-02-22
CTA000029,CLI000018,corrente,ativa,2019-02-12,,7176,761923-5,gerente,basico,13862.13,17772.59,true,true,false,false,2026-01-02
